qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,ara-Arab-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:16:422:3:21311,21311,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21311,Baalchmay,بعلشميه,LB21311,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21314,21314,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21314,Aain Mouaffaq,عين موفق,LB21314,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21317,21317,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21317,Rouayssrt El-Ballout,رويسة البلوط,LB21317,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21321,21321,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21321,Mzairaa Baabda,مزيرعة بعبدا,LB21321,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21324,21324,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21324,Hlaliyeh Baabda,هلالية,LB21324,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21327,21327,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21327,Haret Hamzeh,حارة حمزة,LB21327,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21331,21331,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21331,Qtaleh Baabda,قتالة,LB21331,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21334,21334,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21334,Ras El-Href,راس الحرف,LB21334,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21337,21337,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21337,Deir Khouna,دير خونة,LB21337,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21341,21341,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21341,Aabadiyeh,عبادية,LB21341,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21344,21344,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21344,Qrayet Baabda,قرية,LB21344,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21347,21347,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21347,Chmeisset Baabda,شميسة,LB21347,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21351,21351,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21351,Ras El Matn,راس المتن,LB21351,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21354,21354,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21354,Chouit,شويت,LB21354,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21357,21357,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21357,Qobbayaa,قبيع,LB21357,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21361,21361,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21361,Qordata,قرطادة,LB21361,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21364,21364,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21364,Qsaibeh Baabda,قصيبة,LB21364,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21367,21367,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21367,Deir El-harf,دير الحرف,LB21367,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21371,21371,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21371,Aaraiya,عاريا,LB21371,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21374,21374,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21374,Zandouqa,زندوقة,LB21374,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21377,21377,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21377,Kneisset Baabda,كنيسة بعبدا,LB21377,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21381,21381,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21381,Aarbaniyeh,عربانية,LB21381,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21391,21391,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21391,Dlaybeh,دليبه,LB21391,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21394,21394,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21394,Salima Baabda,صليما بعبدا,LB21394,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21397,21397,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21397,Hasbaiya El-Matn,حاصبيّا المتن,LB21397,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21411,21411,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21411,Hammana,حمانا,LB21411,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21416,21416,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21416,Qalaat Baabda,القلعة,LB21416,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21421,21421,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21421,Khalouat Baabda,خلوات,LB21421,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21426,21426,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21426,Chbaniyeh,شبانية,LB21426,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21431,21431,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21431,Khreibet Baabda,خريبة بعبدا,LB21431,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21436,21436,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21436,Bmaryam,بمريم,LB21436,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21441,21441,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21441,Btekhnay,بتخناي,LB21441,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21446,21446,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21446,Falougha,فالوغا,LB21446,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21451,21451,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21451,Btibyat,بتبيات,LB21451,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
