#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:422:3:21337,21337,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21337,Deir Khouna,دير خونة,LB21337,Deir Khouna,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21341,21341,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21341,Aabadiyeh,عبادية,LB21341,Aabadiyeh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21344,21344,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21344,Qrayet Baabda,قرية,LB21344,Qrayet Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21347,21347,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21347,Chmeisset Baabda,شميسة,LB21347,Chmeisset Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21351,21351,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21351,Ras El Matn,راس المتن,LB21351,Ras El Matn,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21354,21354,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21354,Chouit,شويت,LB21354,Chouit,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21357,21357,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21357,Qobbayaa,قبيع,LB21357,Qobbayaa,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21361,21361,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21361,Qordata,قرطادة,LB21361,Qordata,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21364,21364,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21364,Qsaibeh Baabda,قصيبة,LB21364,Qsaibeh Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21367,21367,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21367,Deir El-harf,دير الحرف,LB21367,Deir El-harf,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21371,21371,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21371,Aaraiya,عاريا,LB21371,Aaraiya,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21374,21374,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21374,Zandouqa,زندوقة,LB21374,Zandouqa,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21377,21377,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21377,Kneisset Baabda,كنيسة بعبدا,LB21377,Kneisset Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21381,21381,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21381,Aarbaniyeh,عربانية,LB21381,Aarbaniyeh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21391,21391,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21391,Dlaybeh,دليبه,LB21391,Dlaybeh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21394,21394,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21394,Salima Baabda,صليما بعبدا,LB21394,Salima Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21397,21397,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21397,Hasbaiya El-Matn,حاصبيّا المتن,LB21397,Hasbaiya El-Matn,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21411,21411,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21411,Hammana,حمانا,LB21411,Hammana,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21416,21416,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21416,Qalaat Baabda,القلعة,LB21416,Qalaat Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21421,21421,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21421,Khalouat Baabda,خلوات,LB21421,Khalouat Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21426,21426,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21426,Chbaniyeh,شبانية,LB21426,Chbaniyeh,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:3:21431,21431,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,1603:16:422:3:21431,Khreibet Baabda,خريبة بعبدا,LB21431,Khreibet Baabda,,,,,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
